2026-04-25T10:34:48.429581 | WARNING | gas | 0.65
2026-04-25T10:37:04.530488 | WARNING | gas | 0.629
2026-04-25T10:37:06.532094 | CRITICAL | co2 | 1114.18
2026-04-25T10:37:06.532094 | CRITICAL | temperature | 71.09
2026-04-25T10:37:06.532094 | CRITICAL | gas | 0.938
2026-04-25T10:37:08.533164 | WARNING | gas | 0.598
2026-04-25T10:37:10.534441 | WARNING | gas | 0.575
2026-04-25T10:37:12.536245 | WARNING | gas | 0.618
2026-04-25T10:37:14.537490 | WARNING | gas | 0.619
2026-04-25T10:37:16.539091 | WARNING | gas | 0.657
2026-04-25T10:37:18.540319 | WARNING | co2 | 651.61
2026-04-25T10:37:18.540319 | WARNING | gas | 0.634
2026-04-25T10:37:20.541995 | CRITICAL | co2 | 1095.18
2026-04-25T10:37:20.541995 | CRITICAL | temperature | 79.25
2026-04-25T10:37:20.541995 | CRITICAL | gas | 1.0
2026-04-25T10:37:22.544293 | WARNING | gas | 0.609
2026-04-25T10:37:24.546730 | WARNING | gas | 0.603
2026-04-25T10:37:26.548273 | WARNING | gas | 0.592
2026-04-25T10:37:28.549797 | WARNING | gas | 0.693
2026-04-25T10:37:30.550996 | WARNING | gas | 0.653
2026-04-25T10:37:32.553861 | WARNING | gas | 0.624
2026-04-25T10:37:34.554910 | WARNING | gas | 0.616
2026-04-25T10:37:36.556530 | WARNING | gas | 0.685
2026-04-25T10:37:38.558083 | WARNING | co2 | 649.7
2026-04-25T10:37:38.558083 | WARNING | gas | 0.634
2026-04-25T10:37:40.559795 | WARNING | co2 | 644.26
2026-04-25T10:37:40.559795 | WARNING | gas | 0.607
2026-04-25T10:37:42.560771 | WARNING | gas | 0.639
2026-04-25T10:37:44.562148 | WARNING | gas | 0.623
2026-04-25T10:37:46.563427 | WARNING | gas | 0.621
2026-04-25T10:37:48.564208 | CRITICAL | co2 | 1045.52
2026-04-25T10:37:48.564208 | CRITICAL | temperature | 66.88
2026-04-25T10:37:48.564208 | CRITICAL | gas | 1.0
2026-04-25T10:37:50.565318 | WARNING | gas | 0.656
2026-04-25T10:37:52.569120 | WARNING | gas | 0.594
2026-04-25T10:37:54.570522 | WARNING | gas | 0.644
2026-04-25T10:37:56.571572 | WARNING | gas | 0.669
2026-04-25T10:37:58.574470 | WARNING | gas | 0.626
2026-04-25T10:38:00.576123 | CRITICAL | co2 | 1088.02
2026-04-25T10:38:00.576123 | CRITICAL | temperature | 72.09
2026-04-25T10:38:00.576123 | CRITICAL | gas | 1.0
2026-04-25T10:38:02.578029 | WARNING | gas | 0.639
2026-04-25T10:38:04.579478 | WARNING | gas | 0.673
2026-04-25T10:38:06.580784 | WARNING | gas | 0.621
2026-04-25T10:38:10.585008 | WARNING | gas | 0.6
2026-04-25T10:38:12.586392 | WARNING | gas | 0.656
2026-04-25T10:38:14.587654 | WARNING | gas | 0.684
2026-04-25T10:38:16.589107 | WARNING | gas | 0.592
2026-04-25T10:38:18.590434 | WARNING | gas | 0.626
2026-04-25T10:38:20.592301 | CRITICAL | co2 | 946.64
2026-04-25T10:38:20.592301 | CRITICAL | temperature | 79.45
2026-04-25T10:38:20.592301 | CRITICAL | gas | 0.941
2026-04-25T10:38:22.593782 | WARNING | gas | 0.644
2026-04-25T10:38:24.595084 | WARNING | gas | 0.642
2026-04-25T10:38:26.596196 | WARNING | gas | 0.593
2026-04-25T10:38:28.597278 | WARNING | gas | 0.669
2026-04-25T10:38:30.598370 | WARNING | gas | 0.629
2026-04-25T10:38:32.599474 | WARNING | gas | 0.588
2026-04-25T10:38:34.600379 | WARNING | gas | 0.617
2026-04-25T10:38:36.601343 | WARNING | gas | 0.614
2026-04-25T10:38:38.602567 | WARNING | gas | 0.627
2026-04-25T10:38:40.604070 | CRITICAL | co2 | 943.98
2026-04-25T10:38:40.604070 | CRITICAL | temperature | 73.75
2026-04-25T10:38:40.604070 | CRITICAL | gas | 0.993
2026-04-25T10:38:42.606363 | WARNING | gas | 0.643
2026-04-25T10:38:44.613505 | WARNING | co2 | 647.81
2026-04-25T10:38:44.613505 | WARNING | gas | 0.608
2026-04-25T10:38:46.619516 | WARNING | gas | 0.629
2026-04-25T10:38:48.621597 | WARNING | gas | 0.646
2026-04-25T10:38:50.622523 | WARNING | gas | 0.682
2026-04-25T10:38:52.623426 | WARNING | gas | 0.621
2026-04-25T10:38:54.624559 | WARNING | gas | 0.598
2026-04-25T10:38:56.625906 | WARNING | co2 | 655.78
2026-04-25T10:38:56.625906 | WARNING | gas | 0.692
2026-04-25T10:38:58.627283 | WARNING | gas | 0.649
2026-04-25T10:39:00.629030 | CRITICAL | co2 | 1081.72
2026-04-25T10:39:00.629030 | CRITICAL | temperature | 80.68
2026-04-25T10:39:00.629030 | CRITICAL | gas | 1.0
2026-04-25T10:39:02.629969 | WARNING | gas | 0.611
2026-04-25T10:39:04.631217 | CRITICAL | co2 | 1006.21
2026-04-25T10:39:04.631217 | CRITICAL | temperature | 70.58
2026-04-25T10:39:04.631217 | CRITICAL | gas | 1.0
2026-04-25T10:39:06.632461 | WARNING | gas | 0.629
2026-04-25T10:39:08.633898 | CRITICAL | co2 | 922.03
2026-04-25T10:39:08.633898 | CRITICAL | temperature | 77.26
2026-04-25T10:39:08.633898 | CRITICAL | gas | 0.95
2026-04-25T10:39:10.635534 | WARNING | gas | 0.628
2026-04-25T10:39:12.637053 | WARNING | gas | 0.612
2026-04-25T10:39:14.638639 | WARNING | gas | 0.65
2026-04-25T10:39:16.639907 | WARNING | gas | 0.595
2026-04-25T10:39:18.641192 | WARNING | gas | 0.594
2026-04-25T10:39:20.642167 | WARNING | co2 | 640.67
2026-04-25T10:39:20.642167 | WARNING | gas | 0.605
2026-04-25T10:39:22.643160 | WARNING | gas | 0.679
2026-04-25T10:39:24.644631 | WARNING | gas | 0.629
2026-04-25T10:39:26.645998 | WARNING | gas | 0.615
2026-04-25T10:39:28.647065 | CRITICAL | co2 | 978.18
2026-04-25T10:39:28.647065 | CRITICAL | temperature | 65.62
2026-04-25T10:39:28.647065 | CRITICAL | gas | 0.965
2026-04-25T10:39:30.648092 | WARNING | gas | 0.624
2026-04-25T10:39:32.653119 | WARNING | gas | 0.618
2026-04-25T10:39:34.655817 | WARNING | co2 | 666.83
2026-04-25T10:39:34.655817 | WARNING | gas | 0.595
2026-04-25T10:39:36.656774 | WARNING | gas | 0.632
2026-04-25T10:39:38.658298 | WARNING | gas | 0.605
2026-04-25T10:39:40.659040 | WARNING | gas | 0.613
2026-04-25T10:39:42.660463 | WARNING | gas | 0.612
2026-04-25T10:39:44.661841 | WARNING | co2 | 656.08
2026-04-25T10:39:44.661841 | WARNING | gas | 0.671
2026-04-25T10:39:46.663268 | WARNING | co2 | 657.88
2026-04-25T10:39:46.663268 | WARNING | gas | 0.608
2026-04-25T10:39:48.665001 | WARNING | gas | 0.647
2026-04-25T10:39:50.666273 | WARNING | gas | 0.643
2026-04-25T10:39:52.667357 | WARNING | gas | 0.633
2026-04-25T10:39:54.668827 | WARNING | gas | 0.642
2026-04-25T10:39:56.670593 | WARNING | gas | 0.687
2026-04-25T10:39:58.672336 | WARNING | gas | 0.585
2026-04-25T10:40:00.673436 | WARNING | gas | 0.608
2026-04-25T10:40:02.674400 | WARNING | gas | 0.644
2026-04-25T10:40:04.675846 | WARNING | co2 | 663.45
2026-04-25T10:40:04.675846 | WARNING | gas | 0.631
2026-04-25T10:40:08.678829 | WARNING | gas | 0.644
2026-04-25T10:40:10.680342 | WARNING | gas | 0.642
2026-04-25T10:56:36.275824 | WARNING | gas | 0.669
2026-04-25T10:56:38.277124 | WARNING | gas | 0.624
2026-04-25T10:56:40.278091 | WARNING | gas | 0.626
2026-04-25T10:56:42.279575 | WARNING | gas | 0.638
2026-04-25T10:56:44.280628 | WARNING | gas | 0.627
2026-04-25T10:56:46.282052 | WARNING | gas | 0.65
2026-04-25T10:56:48.283772 | WARNING | co2 | 644.28
2026-04-25T10:56:48.283772 | WARNING | gas | 0.658
2026-04-25T10:56:50.285126 | WARNING | gas | 0.629
2026-04-25T10:56:52.286229 | WARNING | co2 | 649.66
2026-04-25T10:56:52.286229 | WARNING | gas | 0.655
2026-04-25T10:56:54.287165 | WARNING | gas | 0.641
2026-04-25T10:56:56.288392 | WARNING | gas | 0.632
2026-04-25T10:56:58.289830 | WARNING | gas | 0.623
2026-04-25T10:57:00.290620 | WARNING | gas | 0.608
2026-04-25T10:57:02.291484 | WARNING | gas | 0.646
2026-04-25T10:57:04.292237 | WARNING | gas | 0.661
2026-04-25T10:57:06.292873 | WARNING | co2 | 647.51
2026-04-25T10:57:06.292873 | WARNING | gas | 0.642
2026-04-25T10:57:08.293941 | WARNING | co2 | 646.88
2026-04-25T10:57:08.293941 | WARNING | gas | 0.582
2026-04-25T10:57:10.295806 | WARNING | gas | 0.609
2026-04-25T10:57:12.297162 | WARNING | gas | 0.58
2026-04-25T10:57:14.298491 | WARNING | gas | 0.692
2026-04-25T10:57:16.299583 | CRITICAL | co2 | 1064.86
2026-04-25T10:57:16.299583 | CRITICAL | temperature | 78.28
2026-04-25T10:57:16.299583 | CRITICAL | gas | 0.974
2026-04-25T10:57:18.301376 | WARNING | gas | 0.676
2026-04-25T10:57:20.302594 | WARNING | gas | 0.59
2026-04-25T10:57:22.304049 | WARNING | gas | 0.645
2026-04-25T10:57:24.304933 | WARNING | gas | 0.646
2026-04-25T10:57:26.305905 | WARNING | gas | 0.606
2026-04-25T10:57:28.307451 | WARNING | gas | 0.676
2026-04-25T10:57:30.308576 | WARNING | gas | 0.648
2026-04-25T10:57:32.309689 | WARNING | gas | 0.63
2026-04-25T10:57:34.310932 | WARNING | gas | 0.64
2026-04-25T10:57:36.312166 | WARNING | gas | 0.65
2026-04-25T10:57:38.313169 | CRITICAL | co2 | 1093.6
2026-04-25T10:57:38.313169 | CRITICAL | temperature | 75.74
2026-04-25T10:57:38.313169 | CRITICAL | gas | 1.0
2026-04-25T10:57:40.314200 | WARNING | gas | 0.613
2026-04-25T10:57:42.315418 | WARNING | gas | 0.642
2026-04-25T10:57:44.316433 | WARNING | co2 | 640.04
2026-04-25T10:57:44.316433 | WARNING | gas | 0.651
2026-04-25T10:57:46.317303 | WARNING | gas | 0.593
2026-04-25T10:57:48.318136 | WARNING | gas | 0.692
2026-04-25T10:57:50.320198 | WARNING | gas | 0.592
2026-04-25T11:03:59.515888 | WARNING | co2 | 641.7
2026-04-25T11:03:59.515888 | WARNING | gas | 0.636
2026-04-25T11:04:01.517841 | WARNING | gas | 0.631
2026-04-25T11:04:03.519487 | WARNING | gas | 0.681
2026-04-25T11:04:05.520404 | WARNING | gas | 0.676
2026-04-25T11:04:07.521328 | WARNING | gas | 0.687
2026-04-25T11:04:09.522898 | CRITICAL | co2 | 972.68
2026-04-25T11:04:09.522898 | CRITICAL | temperature | 71.13
2026-04-25T11:04:09.522898 | CRITICAL | gas | 0.945
2026-04-25T11:04:11.524482 | WARNING | gas | 0.63
2026-04-25T11:04:13.525522 | WARNING | gas | 0.658
2026-04-25T11:04:15.526390 | WARNING | gas | 0.624
2026-04-25T11:04:17.527803 | WARNING | gas | 0.623
2026-04-25T11:04:19.529462 | WARNING | gas | 0.636
2026-04-25T11:04:21.530773 | WARNING | gas | 0.696
2026-04-25T11:04:23.532451 | WARNING | gas | 0.669
2026-04-25T11:04:25.533754 | CRITICAL | co2 | 942.45
2026-04-25T11:04:25.533754 | CRITICAL | temperature | 72.23
2026-04-25T11:04:25.533754 | CRITICAL | gas | 0.999
2026-04-25T11:04:27.535243 | WARNING | gas | 0.697
2026-04-25T11:04:29.536851 | WARNING | gas | 0.624
2026-04-25T11:04:31.537999 | WARNING | gas | 0.681
2026-04-25T11:04:33.538807 | WARNING | co2 | 651.62
2026-04-25T11:04:33.538807 | WARNING | gas | 0.665
2026-04-25T11:04:35.540175 | CRITICAL | co2 | 986.04
2026-04-25T11:04:35.540175 | CRITICAL | temperature | 74.6
2026-04-25T11:04:35.540175 | CRITICAL | gas | 0.981
2026-04-25T11:04:37.541767 | WARNING | gas | 0.672
2026-04-25T11:04:39.543348 | WARNING | co2 | 654.36
2026-04-25T11:04:39.543348 | WARNING | gas | 0.595
2026-04-25T11:04:41.544497 | WARNING | gas | 0.629
2026-04-25T11:04:43.545747 | WARNING | gas | 0.678
2026-04-25T11:04:45.546868 | WARNING | temperature | 51.13
2026-04-25T11:04:45.546868 | WARNING | gas | 0.659
2026-04-25T11:04:47.548480 | WARNING | gas | 0.618
2026-04-25T11:04:49.549313 | WARNING | gas | 0.583
2026-04-25T11:04:51.550783 | WARNING | co2 | 644.05
2026-04-25T11:04:51.550783 | WARNING | gas | 0.648
2026-04-25T11:04:53.552433 | WARNING | gas | 0.644
2026-04-25T11:04:55.553708 | CRITICAL | co2 | 992.66
2026-04-25T11:04:55.553708 | CRITICAL | temperature | 68.13
2026-04-25T11:04:55.553708 | CRITICAL | gas | 1.0
2026-04-25T11:04:57.555090 | WARNING | gas | 0.655
2026-04-25T11:04:59.556330 | WARNING | co2 | 643.35
2026-04-25T11:04:59.556330 | WARNING | gas | 0.654
2026-04-25T11:05:01.557598 | WARNING | gas | 0.656
2026-04-25T11:05:03.558746 | WARNING | co2 | 651.58
2026-04-25T11:05:03.558746 | WARNING | gas | 0.676
2026-04-25T11:05:05.560096 | WARNING | gas | 0.66
2026-04-25T11:05:07.561911 | WARNING | gas | 0.666
2026-04-25T11:05:09.563543 | WARNING | gas | 0.657
2026-04-25T11:05:11.564852 | WARNING | gas | 0.625
2026-04-25T11:05:13.565692 | WARNING | gas | 0.593
2026-04-25T11:05:15.567377 | WARNING | co2 | 644.12
2026-04-25T11:05:15.567377 | WARNING | gas | 0.606
2026-04-25T11:05:17.568953 | CRITICAL | co2 | 1094.37
2026-04-25T11:05:17.568953 | CRITICAL | temperature | 77.02
2026-04-25T11:05:17.568953 | CRITICAL | gas | 0.98
2026-04-25T11:05:19.570351 | WARNING | gas | 0.616
2026-04-25T11:05:21.571406 | WARNING | gas | 0.681
2026-04-25T11:05:23.572234 | WARNING | gas | 0.588
2026-04-25T11:05:25.573432 | WARNING | gas | 0.631
2026-04-25T11:05:27.574888 | WARNING | gas | 0.608
2026-04-25T11:05:29.576019 | WARNING | co2 | 680.56
2026-04-25T11:05:29.576019 | WARNING | gas | 0.607
2026-04-25T11:05:31.577795 | WARNING | gas | 0.684
2026-04-25T11:05:33.579017 | WARNING | gas | 0.658
2026-04-25T11:05:35.580688 | WARNING | gas | 0.654
2026-04-25T11:05:37.582102 | WARNING | gas | 0.647
2026-04-25T11:05:39.583694 | WARNING | gas | 0.607
2026-04-25T11:05:41.585470 | WARNING | gas | 0.644
2026-04-25T11:05:43.587169 | WARNING | gas | 0.625
2026-04-25T11:05:45.588566 | WARNING | gas | 0.646
2026-04-25T11:05:47.589831 | WARNING | gas | 0.613
2026-04-25T11:05:49.590833 | WARNING | gas | 0.677
2026-04-25T11:05:51.592493 | WARNING | gas | 0.63
2026-04-25T11:05:53.594204 | WARNING | co2 | 644.04
2026-04-25T11:05:53.594204 | WARNING | gas | 0.668
2026-04-25T11:05:55.595575 | WARNING | gas | 0.662
2026-04-25T11:05:57.597060 | WARNING | gas | 0.614
2026-04-25T11:05:59.598015 | WARNING | gas | 0.623
2026-04-25T11:06:01.600027 | WARNING | co2 | 681.02
2026-04-25T11:06:01.600027 | WARNING | gas | 0.646
2026-04-25T11:06:03.601315 | WARNING | gas | 0.65
2026-04-25T11:06:05.603059 | WARNING | gas | 0.692
2026-04-25T11:06:07.604869 | WARNING | gas | 0.631
2026-04-25T11:06:09.606783 | WARNING | gas | 0.622
2026-04-25T11:06:11.608233 | WARNING | co2 | 652.37
2026-04-25T11:06:11.608233 | WARNING | gas | 0.599
2026-04-25T11:06:13.609488 | WARNING | gas | 0.68
2026-04-25T11:06:15.610857 | WARNING | gas | 0.663
2026-04-25T11:06:17.612126 | WARNING | gas | 0.646
2026-04-25T11:06:19.613253 | WARNING | gas | 0.687
2026-04-25T11:06:21.614467 | WARNING | gas | 0.622
2026-04-25T11:06:23.616079 | WARNING | gas | 0.614
2026-04-25T11:06:25.616926 | WARNING | co2 | 649.79
2026-04-25T11:06:25.616926 | WARNING | gas | 0.661
2026-04-25T11:06:27.618543 | WARNING | gas | 0.699
2026-04-25T11:06:29.620271 | WARNING | gas | 0.694
2026-04-25T11:06:31.621844 | WARNING | co2 | 649.17
2026-04-25T11:06:31.621844 | WARNING | gas | 0.663
2026-04-25T11:06:33.622950 | WARNING | gas | 0.674
2026-04-25T11:06:35.624069 | CRITICAL | co2 | 938.83
2026-04-25T11:06:35.624069 | CRITICAL | temperature | 75.45
2026-04-25T11:06:35.624069 | CRITICAL | gas | 1.0
2026-04-25T11:06:37.625285 | WARNING | gas | 0.614
2026-04-25T11:06:39.626497 | WARNING | gas | 0.655
2026-04-25T11:06:41.627541 | WARNING | co2 | 647.06
2026-04-25T11:06:41.627541 | WARNING | gas | 0.653
2026-04-25T11:06:43.632405 | WARNING | gas | 0.623
2026-04-25T11:06:45.634119 | WARNING | gas | 0.646
2026-04-25T11:06:47.635729 | WARNING | gas | 0.631
2026-04-25T11:06:49.637247 | WARNING | gas | 0.606
2026-04-25T11:06:51.638301 | WARNING | gas | 0.659
2026-04-25T11:06:53.639569 | WARNING | gas | 0.657
2026-04-25T11:06:55.640585 | WARNING | gas | 0.642
2026-04-25T11:06:57.641862 | WARNING | co2 | 660.39
2026-04-25T11:06:57.641862 | WARNING | gas | 0.635
2026-04-25T11:06:59.643259 | WARNING | gas | 0.688
2026-04-25T11:07:01.644585 | WARNING | gas | 0.649
2026-04-25T11:07:03.645856 | WARNING | gas | 0.621
2026-04-25T11:07:05.647026 | WARNING | gas | 0.655
2026-04-25T11:07:07.648416 | CRITICAL | gas | 0.711
2026-04-25T11:07:09.649291 | WARNING | gas | 0.676
2026-04-25T11:07:11.650199 | WARNING | gas | 0.639
2026-04-25T11:07:13.651446 | WARNING | gas | 0.653
2026-04-25T11:07:15.652922 | WARNING | gas | 0.639
2026-04-25T11:07:17.654858 | WARNING | co2 | 645.77
2026-04-25T11:07:17.654858 | WARNING | gas | 0.615
2026-04-25T11:07:19.656047 | WARNING | co2 | 650.75
2026-04-25T11:07:19.656047 | WARNING | gas | 0.635
2026-04-25T11:07:21.657261 | WARNING | gas | 0.632
2026-04-25T11:07:23.658756 | CRITICAL | gas | 0.706
2026-04-25T11:07:25.660264 | WARNING | gas | 0.634
2026-04-25T11:07:27.661820 | WARNING | gas | 0.604
2026-04-25T11:07:29.663268 | WARNING | gas | 0.616
2026-04-25T11:07:31.664042 | WARNING | gas | 0.672
2026-04-25T11:07:33.665440 | WARNING | co2 | 660.33
2026-04-25T11:07:33.665440 | WARNING | gas | 0.631
2026-04-25T11:07:35.666446 | WARNING | co2 | 640.81
2026-04-25T11:07:35.666446 | WARNING | gas | 0.654
2026-04-25T11:07:37.668094 | WARNING | gas | 0.641
2026-04-25T11:07:39.669538 | CRITICAL | gas | 0.705
2026-04-25T11:07:41.670989 | WARNING | gas | 0.631
2026-04-25T11:07:43.671840 | WARNING | gas | 0.604
2026-04-25T11:07:45.673971 | WARNING | gas | 0.654
2026-04-25T11:07:47.675356 | WARNING | co2 | 675.23
2026-04-25T11:07:47.675356 | WARNING | gas | 0.664
2026-04-25T11:07:49.676575 | WARNING | gas | 0.659
2026-04-25T11:07:51.677587 | WARNING | gas | 0.667
2026-04-25T11:07:53.678596 | WARNING | gas | 0.641
2026-04-25T11:07:55.680170 | WARNING | gas | 0.623
2026-04-25T11:07:57.681512 | WARNING | gas | 0.606
2026-04-25T11:07:59.682442 | CRITICAL | gas | 0.736
2026-04-25T11:08:01.683462 | WARNING | gas | 0.632
2026-04-25T11:08:03.684325 | WARNING | gas | 0.657
2026-04-25T11:08:05.686041 | CRITICAL | co2 | 1088.93
2026-04-25T11:08:05.686041 | CRITICAL | temperature | 69.92
2026-04-25T11:08:05.686041 | CRITICAL | gas | 1.0
2026-04-25T11:08:07.687514 | WARNING | gas | 0.684
2026-04-25T11:08:09.689066 | WARNING | gas | 0.67
2026-04-25T11:08:11.690544 | WARNING | gas | 0.584
2026-04-25T11:08:13.691545 | WARNING | gas | 0.653
2026-04-25T11:08:15.693112 | WARNING | gas | 0.638
2026-04-25T11:08:17.694321 | WARNING | co2 | 673.81
2026-04-25T11:08:17.694321 | WARNING | gas | 0.68
2026-04-25T11:08:19.695997 | WARNING | gas | 0.647
2026-04-25T11:08:21.697317 | WARNING | gas | 0.658
2026-04-25T11:08:23.698647 | WARNING | gas | 0.658
2026-04-25T11:08:25.699720 | WARNING | gas | 0.636
2026-04-25T11:08:27.701118 | WARNING | gas | 0.689
2026-04-25T11:08:29.702733 | WARNING | gas | 0.636
2026-04-25T11:08:31.704616 | WARNING | gas | 0.621
2026-04-25T11:08:33.706784 | WARNING | gas | 0.656
2026-04-25T11:08:35.707804 | WARNING | gas | 0.653
2026-04-25T11:08:37.708649 | WARNING | gas | 0.668
2026-04-25T11:08:39.710111 | WARNING | gas | 0.631
2026-04-25T11:08:41.711503 | WARNING | gas | 0.613
2026-04-25T11:08:43.712971 | WARNING | gas | 0.649
2026-04-25T11:08:45.713961 | CRITICAL | gas | 0.712
2026-04-25T11:08:47.715757 | WARNING | gas | 0.601
2026-04-25T11:08:49.717079 | WARNING | gas | 0.604
2026-04-25T11:08:51.718051 | WARNING | gas | 0.659
2026-04-25T11:08:53.719066 | WARNING | gas | 0.651
2026-04-25T11:08:55.720359 | WARNING | gas | 0.606
2026-04-25T11:08:57.721239 | WARNING | co2 | 644.05
2026-04-25T11:08:57.721239 | WARNING | gas | 0.615
2026-04-25T11:08:59.722838 | WARNING | gas | 0.607
2026-04-25T11:09:01.723883 | WARNING | gas | 0.634
2026-04-25T11:09:03.724966 | WARNING | gas | 0.68
2026-04-25T11:09:05.726953 | WARNING | co2 | 641.75
2026-04-25T11:09:05.726953 | WARNING | gas | 0.669
2026-04-25T11:09:07.728517 | WARNING | gas | 0.606
2026-04-25T11:09:09.730050 | WARNING | gas | 0.688
2026-04-25T11:09:11.731470 | WARNING | co2 | 642.77
2026-04-25T11:09:11.731470 | WARNING | gas | 0.606
2026-04-25T11:09:13.732768 | WARNING | gas | 0.663
2026-04-25T11:09:15.735058 | WARNING | gas | 0.63
2026-04-25T11:09:17.736389 | CRITICAL | co2 | 1019.05
2026-04-25T11:09:17.736389 | CRITICAL | temperature | 72.81
2026-04-25T11:09:17.736389 | CRITICAL | gas | 0.95
2026-04-25T11:09:19.739389 | WARNING | gas | 0.624
2026-04-25T11:09:21.740920 | WARNING | gas | 0.646
2026-04-25T11:09:23.742103 | WARNING | gas | 0.657
2026-04-25T11:09:25.743054 | WARNING | gas | 0.665
2026-04-25T11:09:27.744049 | WARNING | gas | 0.645
2026-04-25T11:09:29.745086 | WARNING | gas | 0.613
